ID,Old ID1,Old ID,Country,Province,District
IN0316,5791,5791,Andhra Pradesh,Kurnool,Bandi Atmakur
IN0317,5787,5787,Andhra Pradesh,Kurnool,Bethamcherla
IN0318,5764,5764,Andhra Pradesh,Kurnool,C.Belagal
IN0319,5811,5811,Andhra Pradesh,Kurnool,Chagalamarri
IN0320,5799,5799,Andhra Pradesh,Kurnool,Chippagiri
IN0321,5784,5784,Andhra Pradesh,Kurnool,Devanakonda
IN0322,5797,5797,Andhra Pradesh,Kurnool,Dhone
IN0323,5807,5807,Andhra Pradesh,Kurnool,Dornipadu
IN0324,5789,5789,Andhra Pradesh,Kurnool,Gadivemula
IN0325,5778,5778,Andhra Pradesh,Kurnool,Gonegandla
IN0326,5795,5795,Andhra Pradesh,Kurnool,Gospadu
IN0327,5765,5765,Andhra Pradesh,Kurnool,Gudur
IN0328,5781,5781,Andhra Pradesh,Kurnool,Halaharvi
IN0329,5780,5780,Andhra Pradesh,Kurnool,Holagunda
IN0330,5770,5770,Andhra Pradesh,Kurnool,Jupadu Bungalow
IN0331,5766,5766,Andhra Pradesh,Kurnool,Kallur
IN0332,5777,5777,Andhra Pradesh,Kurnool,Kodumur
IN0333,5804,5804,Andhra Pradesh,Kurnool,Koilkuntla
IN0334,5809,5809,Andhra Pradesh,Kurnool,Kolimigundla
IN0335,5759,5759,Andhra Pradesh,Kurnool,Kosigi
IN0336,5771,5771,Andhra Pradesh,Kurnool,Kothapalle
IN0337,5760,5760,Andhra Pradesh,Kurnool,Kowthalam
IN0338,5785,5785,Andhra Pradesh,Kurnool,Krishnagiri
IN0339,5767,5767,Andhra Pradesh,Kurnool,Kurnool
IN0340,5800,5800,Andhra Pradesh,Kurnool,Maddikera (East)
IN0341,5793,5793,Andhra Pradesh,Kurnool,Mahanandi
IN0342,5758,5758,Andhra Pradesh,Kurnool,Mantralayam
IN0343,5775,5775,Andhra Pradesh,Kurnool,Midthur
IN0344,5763,5763,Andhra Pradesh,Kurnool,Nandavaram
IN0345,5768,5768,Andhra Pradesh,Kurnool,Nandikotkur
IN0346,5792,5792,Andhra Pradesh,Kurnool,Nandyal
IN0347,5776,5776,Andhra Pradesh,Kurnool,Orvakal
IN0348,5803,5803,Andhra Pradesh,Kurnool,Owk
