Data Year,ID,Country,Province,District,Largest Group,Percent of Population,oneGroup,twoGroup,threeGroup,fourGroup,fiveGroup,sixGroup,sevenGroup,eightGroup,nineGroup,tenGroup,Density,Area,Population,ethnicity,Sunni Arabs,Salafi Arabs,Shia Arabs,Alawites,Ibadi Arabs,South Arabians,Druze,Orthodox Arabs,Catholic Arabs,Protestant Arabs,Maronites,Copts,Kurds,Zazas,Turks,North Caucasian,Circassians,Chechens,Georgians,Lazi,Armenians,Assyrians,Jews,Other Arabs,No religion classification,Others,Foreigners,Others Foreigners,Yazidis,Mandaeans,Ajams/ Iranians,Kyrgyz,Kazakhs,Dagestani,Azeris,Syrians,Afghans,Indians,Pakistanis,Bangladeshis,Sri Lankans,Nepalis,Fillipinos,Southeast Asians,East Asians,Africans,Europeans,Americas/ Pacific,Egypt,Tanzania,Sudan,Bosnians,Albanians,Pomaks,Roma,Greeks,Ossetians,Balochis,Zadjali,Zanzibaris,Al-Luwatiyyah,Kumzaris,Banyans,religion,Largest Religion,Share of Population,Islam
,IQ36,Iraq,Babil,Al-Hashimiya,Shia Arabs,1,Shia Arabs,.,.,.,.,.,.,.,.,.,,2059,514428,,0,0,514428,0,,,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ37,Iraq,Babil,Al-Hilla,Shia Arabs,1,Shia Arabs,.,.,.,.,.,.,.,.,.,,930,908941,,0,0,908941,0,,,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ38,Iraq,Babil,Al-Mahaweel,Shia Arabs,0.940000261,Shia Arabs,Sunni Arabs,.,.,.,.,.,.,.,.,,1334,382585,,22955,0,359630,0,,,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ39,Iraq,Babil,Al-Mussyab,Shia Arabs,0.90000047,Shia Arabs,Sunni Arabs,.,.,.,.,.,.,.,.,,1017,425182,,42518,0,382664,0,,,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ40,Iraq,Baghdad,Al-Adhamiya,Shia Arabs,0.849999962,Shia Arabs,Sunni Arabs,Assyrians,.,.,.,.,.,.,.,,255,1299213,,181890,0,1104331,0,,,0,0,0,0,0,0,0,,0,,0,0,,,0,12992,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ41,Iraq,Baghdad,Al-Kadhmiyah,Sunni Arabs,0.750000169,Sunni Arabs,Shia Arabs,.,.,.,.,.,.,.,.,,1584,1475433,,1106575,0,368858,0,,,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ42,Iraq,Baghdad,Al-Karkh,Sunni Arabs,0.539999721,Sunni Arabs,Shia Arabs,Assyrians,.,.,.,.,.,.,.,,270,1721862,,929805,0,774838,0,,,0,0,0,0,0,0,0,,0,,0,0,,,0,17219,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ43,Iraq,Baghdad,Al-Mada'in,Shia Arabs,0.980001852,Shia Arabs,Sunni Arabs,.,.,.,.,.,.,.,.,,1317,496646,,9932,0,486714,0,,,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ44,Iraq,Baghdad,Al-Mahmoudiya,Shia Arabs,0.749999044,Shia Arabs,Sunni Arabs,.,.,.,.,.,.,.,.,,1423,522934,,130734,0,392200,0,,,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ45,Iraq,Baghdad,Al-Risafa,Shia Arabs,0.701000148,Shia Arabs,Sunni Arabs,Assyrians,Armenians,Orthodox Arabs,Catholic Arabs,.,.,.,.,,173,1955011,,432057,0,1370463,0,,,0,3812,432,0,0,0,0,,0,,0,0,,,10166,138081,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ46,Iraq,Baghdad,Al-Thawra,Shia Arabs,0.980000351,Shia Arabs,Sunni Arabs,Sunni Arabs,.,.,.,.,.,.,.,,79,1309323,,13093,0,1283137,0,,,0,0,0,0,0,0,0,,0,,0,0,,,0,13093,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ47,Iraq,Diyala,Al-Khalis,Shia Arabs,0.500001322,Shia Arabs,Sunni Arabs,Turks,.,.,.,.,.,.,.,,2949,378087,,170139,0,189044,0,,,0,0,0,0,0,0,0,,18904,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ48,Iraq,Diyala,Al-Muqdadiya,Shia Arabs,0.569996873,Shia Arabs,Sunni Arabs,Kurds,Turks,.,.,.,.,.,.,,997,274998,,68750,0,156748,0,,,0,0,0,0,0,0,27500,,22000,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ49,Iraq,Diyala,Baladruz,Shia Arabs,0.400006246,Shia Arabs,Sunni Arabs,Kurds,Turks,.,.,.,.,.,.,,6812,160095,,48028,0,64039,0,,,0,0,0,0,0,0,40023,,8005,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ50,Iraq,Diyala,Baquba,Shia Arabs,0.695000639,Shia Arabs,Sunni Arabs,Assyrians,Armenians,.,.,.,.,.,.,,1822,649103,,194731,0,451127,0,,,0,0,0,0,0,0,0,,0,,0,0,,,811,2434,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ51,Iraq,Diyala,Khanaqin,Kurds,0.74999906,Kurds,Shia Arabs,.,.,.,.,.,.,.,.,,3975,265903,,0,0,66476,0,,,0,0,0,0,0,0,199427,,0,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ52,Iraq,Diyala,Kifri,Kurds,0.449999552,Kurds,Turks,Shia Arabs,.,.,.,.,.,.,.,,2190,111529,,0,0,22306,0,,,0,0,0,0,0,0,50188,,39035,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
