Data Year,ID,Country,Province,District,Largest Group,Percent of Population,oneGroup,twoGroup,threeGroup,fourGroup,fiveGroup,sixGroup,sevenGroup,eightGroup,nineGroup,tenGroup,oneReligion,twoReligion,threeReligion,fourReligion,fiveReligion,sixReligion,sevenReligion,eightReligion,nineReligion,tenReligion,Density,Area,Population,ethnicity,Serbs,Montenegrins,Croats,Bosniaks,Bulgarians,Macedonians,Albanians,Arvanites,Greeks,Turks,Tatars,Gagauzians,Romanians,Moldovans,Aromanians,Hungarians,Jews,Roma,Gorans,Egyptians,Ashkali,Muslims,Bosnians,Yugoslavs,Others,Unstated,Unknown,Slovenians,Czechs,Slovaks,Russians,Ukrainians,Belorussians,Ruthenians,Bunjevacis,Poles,Germans,Italians,Georgians,Armenians,Arabs,Maronite Arabs,Orthodox Arabs,Copt Arabs,Catholic Arabs,Sunni Arabs,Shia Arabs,Austrians,British,French,Spanish,Swedish,Finnish,Portugese,Dutch,Danish,Americans,Nigerians,Sri Lankans,Indians,Pakistanis,Bangladeshis,Chinese,Vietnamese,Filippino,Syrians,Iranians,Afghans,Turkmenistanis,Azerbaijanis,Other Europeans,Other Asians,Other Africans,Other North Americans,Latin Americans,Oceania countries,No country declared,Stateless or Unspecified Nationality,religion,Largest Religion,Share of Population,Orthodoxy,Catholicism,Protestantism,Other Christians,Islam,Judaism,Other religions,Atheism,Not stated,Not known
2019,BH005,Bosnia & Herzegovina,Central Bosnia,Bugojno,Bosniaks,0.783285669,Bosniaks,Croats,Serbs,Bosnians,Unstated,Muslims,Roma,Others,Unknown,Albanians,Islam,Catholicism,Orthodoxy,Atheism,Not stated,Not known,Other religions,Protestantism,Other Christians,.,45.22,696,31470,,377,3,5767,24650,,4,13,,,1,,,,,,,,50,,,,131,244,2,44,153,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muslims,0.79374007,374,5758,6,3,24979,,29,147,142,32
2019,BH012,Bosnia & Herzegovina,Central Bosnia,Fojnica,Bosniaks,0.61443833,Bosniaks,Croats,Unknown,Bosnians,Serbs,Unstated,Muslims,Roma,Others,Albanians,Islam,Catholicism,Not known,Not stated,Orthodoxy,Atheism,Protestantism,Other religions,Other Christians,.,21.27,581,12356,,50,3,3664,7592,,,23,,,,,,,,,,,35,,,,45,101,1,26,46,770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muslims,0.626982842,49,3673,16,1,7747,,9,35,55,771
2019,BH022,Bosnia & Herzegovina,Central Bosnia,Kreševo,Croats,0.786838612,Croats,Bosniaks,Unstated,Serbs,Bosnians,Muslims,Others,Unknown,Unknown,Macedonians,Catholicism,Islam,Not stated,Orthodoxy,Other Christians,Atheism,Other religions,Not known,.,.,18.77,281,5273,,26,,4149,1014,,2,1,,,,,,,,,,,,,,,18,21,2,5,28,3,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catholics,0.783993931,29,4134,,14,1038,,8,9,38,3
2019,BH040,Bosnia & Herzegovina,Central Bosnia,Travnik,Bosniaks,0.666542014,Bosniaks,Croats,Serbs,Serbs,Muslims,Unstated,Roma,Unknown,Others,Albanians,Islam,Catholicism,Orthodoxy,Atheism,Not stated,Not known,Other religions,Other Christians,Protestantism,.,50.89,1051,53482,,653,10,15102,35648,,6,55,,,13,,,,,,,,210,,,,535,653,15,115,327,137,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muslims,0.686530047,664,15063,10,29,36717,,75,405,372,147
2019,BH045,Bosnia & Herzegovina,Central Bosnia,Vitez,Croats,0.555426537,Croats,Bosniaks,Roma,Serbs,Bosnians,Bosnians,Others,Muslims,Unknown,Montenegrins,Catholicism,Islam,Orthodoxy,Not stated,Atheism,Other religions,Not known,Other Christians,Protestantism,.,84.43,306,25836,,333,10,14350,10513,,1,8,,,,,,,,,,,351,,,,41,74,7,53,74,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catholics,0.554962068,315,14338,5,18,10756,,29,111,242,22
2019,BH065,Bosnia & Herzegovina,Central Bosnia,Jajce,Bosniaks,0.486792868,Bosniaks,Croats,Serbs,Bosnians,Roma,Muslims,Unstated,Others,Unknown,Yugoslavs,Islam,Catholicism,Orthodoxy,Atheism,Not stated,Other religions,Not known,Other Christians,Protestantism,.,40.68,670,27258,,506,5,12555,13269,,,9,,,,,,,,,,,247,,,,136,324,14,53,95,38,6,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muslims,0.506016582,506,12558,10,15,13793,,39,162,142,33
2019,BH142,Bosnia & Herzegovina,Brčko Distrikt,Brčko,Bosniaks,0.423643374,Bosniaks,Serbs,Croats,Unstated,Roma,Bosnians,Others,Muslims,Albanians,Unknown,Islam,Orthodoxy,Catholicism,Not stated,Atheism,Not known,Other religions,Other Christians,Protestantism,.,85.31,979,83516,,28936,31,17252,35381,,25,105,,,3,,,,,,,,490,,,,169,224,67,201,522,100,9,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muslims,0.433294219,28838,17219,14,24,36187,,67,434,636,97
2019,BH046,Bosnia & Herzegovina,Zenica-Doboj,Zavidovići,Bosniaks,0.909608758,Bosniaks,Croats,Bosnians,Serbs,Roma,Muslims,Unstated,Others,Unknown,Albanians,Islam,Catholicism,Orthodoxy,Atheism,Not stated,Not known,Other religions,Other Christians,.,.,33.29,1081,35988,,573,6,1204,32735,,2,29,,,,,,,,,,,411,,,,180,581,9,59,162,36,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muslims,0.935395132,591,1220,,7,33663,,28,252,196,31
2019,BH053,Bosnia & Herzegovina,Zenica-Doboj,Doboj-Jug,Bosniaks,0.970993474,Bosniaks,Roma,Croats,Bosnians,Unstated,Serbs,Muslims,Others,Unknown,Albanians,Islam,Catholicism,Not stated,Orthodoxy,Atheism,Other religions,Not known,Protestantism,.,.,206.85,20,4137,,9,,24,4017,,,4,,,,,,,,,,,26,,,,8,22,,7,14,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muslims,0.983562968,10,24,1,,4069,,5,9,15,4
2019,BH018,Bosnia & Herzegovina,Zenica-Doboj,Kakanj,Bosniaks,0.863785689,Bosniaks,Croats,Roma,Bosnians,Serbs,Unstated,Muslims,Others,Unknown,Albanians,Islam,Catholicism,Orthodoxy,Not stated,Atheism,Other religions,Not known,Protestantism,Other Christians,.,51.08,733,37441,,284,3,2973,32341,,3,18,,,5,,,,,,,,851,,,,148,494,2,105,172,28,13,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muslims,0.895729281,293,3024,10,5,33537,,78,207,267,20
